I'd like [item],0
Could I get [item],0
Can I have [item],0
I'll get [item],0
I'll take [item],0
Can I get [item],0
I'd like [item] with an extra [customisable],1
Could I get [item] with more [customisable],1
Can I have [item] with another [customisable],1
I'll get [item] with an extra [customisable],1
I'll take [item] with more [customisable],1
Can I get [item] with another [customisable],1
I'd like [item] with no [customisable],2
Could I get [item] leave out [customisable],2
Can I have [item] take out [customisable],2
I'll get [item] I don't want any [customisable],2
I'll take [item] without [customisable],2
Can I get [item] leave out [customisable],2
I'd like [item] with only [customisable],3
Could I get [item] with [customisable],3
Can I have [item] with just [customisable],3
I'll get [item] with only [customisable],3
I'll take [item] with [customisable],3
Can I get [item] with just [customisable],3
I'd like [variant] [item],4
Could I get [variant] [item],4
Can I have [variant] [item],4
I'll get [variant] [item],4
I'll take [variant] [item],4
Can I get [variant] [item],4
I'd like [variant] [item] with an extra [customisable],5
Could I get [variant] [item] with more [customisable],5
Can I have [variant] [item] with another [customisable],5
I'll get [variant] [item] with an extra [customisable],5
I'll take [variant] [item] with more [customisable],5
Can I get [variant] [item] with another [customisable],5
I'd like [variant] [item] with no [customisable],6
Could I get [variant] [item] leave out [customisable],6
Can I have [variant] [item] take out [customisable],6
I'll get [variant] [item] I don't want any [customisable],6
I'll take [variant] [item] without [customisable],6
Can I get [variant] [item] leave out [customisable],6
I'd like [variant] [item] with only [customisable],7
Could I get [variant] [item] with [customisable],7
Can I have [variant] [item] with just [customisable],7
I'll get [variant] [item] with only [customisable],7
I'll take [variant] [item] with [customisable],7
Can I get [variant] [item] with just [customisable],7
I'd like [size] [item],8
Could I get [size] [item],8
Can I have [size] [item],8
I'll get [size] [item],8
I'll take [size] [item],8
Can I get [size] [item],8
I'd like [size] [item] with an extra [customisable],9
Could I get [size] [item] with more [customisable],9
Can I have [size] [item] with another [customisable],9
I'll get [size] [item] with an extra [customisable],9
I'll take [size] [item] with more [customisable],9
Can I get [size] [item] with another [customisable],9
I'd like [size] [item] with no [customisable],10
Could I get [size] [item] leave out [customisable],10
Can I have [size] [item] take out [customisable],10
I'll get [size] [item] I don't want any [customisable],10
I'll take [size] [item] without [customisable],10
Can I get [size] [item] leave out [customisable],10
I'd like [size] [item] with only [customisable],11
Could I get [size] [item] with [customisable],11
Can I have [size] [item] with just [customisable],11
I'll get [size] [item] with only [customisable],11
I'll take [size] [item] with [customisable],11
Can I get [size] [item] with just [customisable],11
I'd like [size] [variant] [item],12
Could I get [size] [variant] [item],12
Can I have [size] [variant] [item],12
I'll get [size] [variant] [item],12
I'll take [size] [variant] [item],12
Can I get [size] [variant] [item],12
I'd like [size] [variant] [item] with an extra [customisable],13
Could I get [size] [variant] [item] with more [customisable],13
Can I have [size] [variant] [item] with another [customisable],13
I'll get [size] [variant] [item] with an extra [customisable],13
I'll take [size] [variant] [item] with more [customisable],13
Can I get [size] [variant] [item] with another [customisable],13
I'd like [size] [variant] [item] with no [customisable],14
Could I get [size] [variant] [item] leave out [customisable],14
Can I have [size] [variant] [item] take out [customisable],14
I'll get [size] [variant] [item] I don't want any [customisable],14
I'll take [size] [variant] [item] without [customisable],14
Can I get [size] [variant] [item] leave out [customisable],14
I'd like [size] [variant] [item] with only [customisable],15
Could I get [size] [variant] [item] with [customisable],15
Can I have [size] [variant] [item] with just [customisable],15
I'll get [size] [variant] [item] with only [customisable],15
I'll take [size] [variant] [item] with [customisable],15
Can I get [size] [variant] [item] with just [customisable],15
I'd like [size] [variant],16
Could I get [size] [variant],16
Can I have [size] [variant],16
I'll get [size] [variant],16
I'll take [size] [variant],16
Can I get [size] [variant],16
I'd like [size] [variant] with an extra [customisable],17
Could I get [size] [variant] with more [customisable],17
Can I have [size] [variant] with another [customisable],17
I'll get [size] [variant] with an extra [customisable],17
I'll take [size] [variant] with more [customisable],17
Can I get [size] [variant] with another [customisable],17
I'd like [size] [variant] with no [customisable],18
Could I get [size] [variant] leave out [customisable],18
Can I have [size] [variant] take out [customisable],18
I'll get [size] [variant] I don't want any [customisable],18
I'll take [size] [variant] without [customisable],18
Can I get [size] [variant] leave out [customisable],18
I'd like [size] [variant] with only [customisable],19
Could I get [size] [variant] with [customisable],19
Can I have [size] [variant] with just [customisable],19
I'll get [size] [variant] with only [customisable],19
I'll take [size] [variant] with [customisable],19
Can I get [size] [variant] with just [customisable],19
Could I remove [item],20
Can I get rid of [item],20
Could I take off [item],20
Can I take away [item],20
I don't want the [item],20
I don't need the [item],20
[item],21
[variant],22
[customisable],22
I'll have [variant],22
I'll get [variant],22
Can I get that as [variant],22
I'll take a [variant],22
I'll have [customisable],22
I'll get [customisable],22
Can I get that as [customisable],22
I'll take a [customisable],22
[size],23
I'll have [size],23
I'll get [size],23
Can I get that as [size],23
I'll take a [size],23
I'd like to place an order,24
Could I place an order please,24
I'd like to get some food,24
What choices do I have,25
What are my options,25
What do you have,25
,26
Yes,27
Yeah,27
No,28
That is it,29
That will be all,29
Delivery,30
Collection,31
How much does a [item] cost,32
How much does a [variant] [item] cost,32
How much does a [size] [item] cost,32
How much does a [variant] [size] cost,32
How much does a [size] [variant] [item] cost,32
What is the price of a [item],32
What is the price of a [variant] [item],32
What is the price of a [size] [item],32
What is the price of a [variant] [size],32
What is the price of a [size] [variant] [item],32
How much does that come to,33
How much is the order,33
What is the cost of the order,33
Can you read back my order,34
Can I check my order,34
what time do you open today,35
when do you open today,35
what time does the shop open today,35
when does the store open today,35
what time do you close today,36
when do you close today,36
what time does the shop close today,36
when does the store close today,36
what time do you open yesterday,37
when do you open yesterday,37
what time does the shop open yesterday,37
when does the store open yesterday,37
what time do you close yesterday,38
when do you close yesterday,38
what time does the shop close yesterday,38
when does the store close yesterday,38
what time do you open tomorrow,39
when do you open tomorrow,39
what time does the shop open tomorrow,39
when does the store open tomorrow,39
what time do you close tomorrow,40
when do you close tomorrow,40
what time does the shop close tomorrow,40
when does the store close tomorrow,40
what time do you open on monday,41
when do you open on monday,41
what time does the shop open on monday,41
when does the store open on monday,41
what time do you close on monday,42
when do you close on monday,42
what time does the shop close on monday,42
when does the store close on monday,42
what time do you open on tuesday,43
when do you open on tuesday,43
what time does the shop open on tuesday,43
when does the store open on tuesday,43
what time do you close on tuesday,44
when do you close on tuesday,44
what time does the shop close on tuesday,44
when does the store close on tuesday,44
what time do you open on wednesday,45
when do you open on wednesday,45
what time does the shop open on wednesday,45
when does the store open on wednesday,45
what time do you close on wednesday,46
when do you close on wednesday,46
what time does the shop close on wednesday,46
when does the store close on wednesday,46
what time do you open on thursday,47
when do you open on thursday,47
what time does the shop open on thursday,47
when does the store open on thursday,47
what time do you close on thursday,48
when do you close on thursday,48
what time does the shop close on thursday,48
when does the store close on thursday,48
what time do you open on friday,49
when do you open on friday,49
what time does the shop open on friday,49
when does the store open on friday,49
what time do you close on friday,50
when do you close on friday,50
what time does the shop close on friday,50
when does the store close on friday,50
what time do you open on saturday,51
when do you open on saturday,51
what time does the shop open on saturday,51
when does the store open on saturday,51
what time do you close on saturday,52
when do you close on saturday,52
what time does the shop close on saturday,52
when does the store close on saturday,52
what time do you open on sunday,53
when do you open on sunday,53
what time does the shop open on sunday,53
when does the store open on sunday,53
what time do you close on sunday,54
when do you close on sunday,54
what time does the shop close on sunday,54
when does the store close on sunday,54
what kind of [item] do you have,55
what [item] do you have,55
what kind of [item] can I get,55
what [item] can I get,55
what kind of [item] can I have,55
what [item] can I have,55
what size [item] do you have,56
what size [item] can I get,56
what size [item] can I have,56
hello,57
hi,57
hiya,57
what about a [item],58
what about a [variant] [item],58
what about a [size] [item],58
what about a [variant] [size],58
what about a [variant] [size] [item],58
